review,sentiment,total_words,total_chars,sequence,padded
like building used couple location maybe poor hummh,0,8,51,"[11, 1031, 109, 338, 487, 471, 101, 2337]","[  11 1031  109  338  487  471  101 2337    0    0    0    0    0    0
    0    0]"
blew,0,1,4,[1400],"[1400    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
chosen tortured disgusting piece blatant american propaganda,0,7,60,"[2338, 2339, 812, 80, 2340, 1032, 2341]","[2338 2339  812   80 2340 1032 2341    0    0    0    0    0    0    0
    0    0]"
show made american stupid full hatred cliche admitted elsewhere,0,9,63,"[123, 28, 1032, 206, 310, 2342, 940, 2343, 578]","[ 123   28 1032  206  310 2342  940 2343  578    0    0    0    0    0
    0    0]"
almost everyone involved must return school acting utterly predictable bad script pile garbage round,0,14,100,"[293, 275, 1033, 155, 317, 2344, 57, 626, 320, 15, 114, 1401, 493, 1402]","[ 293  275 1033  155  317 2344   57  626  320   15  114 1401  493 1402
    0    0]"
wish could enter negative value admins,0,6,38,"[753, 37, 1403, 934, 339, 2345]","[ 753   37 1403  934  339 2345    0    0    0    0    0    0    0    0
    0    0]"
set bad look place thunderbird episode,0,6,38,"[248, 15, 48, 10, 2346, 755]","[ 248   15   48   10 2346  755    0    0    0    0    0    0    0    0
    0    0]"
oh yeah storyline pathetic too,0,5,30,"[371, 969, 970, 650, 179]",[371 969 970 650 179   0   0   0   0   0   0   0   0   0   0   0]
filmmaker director would hide head sand spent whatever amount money time movie,0,12,78,"[2347, 265, 17, 2348, 539, 1404, 985, 459, 619, 85, 8, 2]","[2347  265   17 2348  539 1404  985  459  619   85    8    2    0    0
    0    0]"
short monumental waste time energy would recommend anyone ever see film,0,11,71,"[238, 2349, 84, 8, 749, 17, 40, 129, 20, 50, 5]","[ 238 2349   84    8  749   17   40  129   20   50    5    0    0    0
    0    0]"
came free dvd player bought still turned thing halfway embarrassed howell,0,11,73,"[73, 373, 1405, 430, 140, 56, 632, 31, 2350, 2351, 2352]","[  73  373 1405  430  140   56  632   31 2350 2351 2352    0    0    0
    0    0]"
setting,0,1,7,[480],[480   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
soundtrack terrible either,1,3,26,"[653, 72, 220]",[653  72 220   0   0   0   0   0   0   0   0   0   0   0   0   0]
still set got big oy vey scale,1,7,30,"[56, 248, 53, 151, 2353, 2354, 1034]","[  56  248   53  151 2353 2354 1034    0    0    0    0    0    0    0
    0    0]"
yes simplifying thing sake brevity really core problem film much going without real fulfilling explanation,0,15,106,"[743, 2355, 31, 1406, 2356, 13, 1300, 66, 5, 33, 67, 244, 91, 2357, 1317]","[ 743 2355   31 1406 2356   13 1300   66    5   33   67  244   91 2357
 1317    0]"
good job quite amusing,1,4,22,"[1, 138, 97, 2358]","[   1  138   97 2358    0    0    0    0    0    0    0    0    0    0
    0    0]"
convoluted plot convince me much film watched weird questioning glance,0,10,70,"[2359, 108, 2360, 103, 33, 5, 331, 813, 2361, 1035]","[2359  108 2360  103   33    5  331  813 2361 1035    0    0    0    0
    0    0]"
let girlfriend talk seeing bad idea hated it,0,8,44,"[296, 971, 207, 488, 15, 661, 814, 7]",[296 971 207 488  15 661 814   7   0   0   0   0   0   0   0   0]
last minute movie also bad well,1,6,31,"[122, 54, 2, 23, 15, 16]",[122  54   2  23  15  16   0   0   0   0   0   0   0   0   0   0]
bela lugosi totally extraneous intoning odd line,0,7,48,"[2362, 2363, 158, 2364, 2365, 1407, 130]","[2362 2363  158 2364 2365 1407  130    0    0    0    0    0    0    0
    0    0]"
acting decidely wooden though worse period universal b movie,0,9,60,"[57, 2366, 1036, 215, 305, 579, 2367, 1281, 2]","[  57 2366 1036  215  305  579 2367 1281    2    0    0    0    0    0
    0    0]"
like armand assante cable company summary sounded interesting watched it twice already probably again,1,14,101,"[11, 2368, 2369, 431, 340, 1007, 1037, 241, 331, 7, 415, 769, 132, 69]","[  11 2368 2369  431  340 1007 1037  241  331    7  415  769  132   69
    0    0]"
believe screenwriter good job tying loose end,1,7,45,"[300, 981, 1, 138, 2370, 1408, 154]","[ 300  981    1  138 2370 1408  154    0    0    0    0    0    0    0
    0    0]"
score mostly plot,1,3,17,"[1038, 483, 108]","[1038  483  108    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
say like spoiler want one believe film worth time,1,9,49,"[55, 11, 784, 94, 6, 300, 5, 93, 8]",[ 55  11 784  94   6 300   5  93   8   0   0   0   0   0   0   0]
wow bad film,0,3,12,"[580, 15, 5]",[580  15   5   0   0   0   0   0   0   0   0   0   0   0   0   0]
frightening least barely comprehensible,0,4,39,"[1039, 262, 333, 2371]","[1039  262  333 2371    0    0    0    0    0    0    0    0    0    0
    0    0]"
plot hang together all acting absolutely appalling,0,7,50,"[108, 2372, 411, 100, 57, 131, 977]","[ 108 2372  411  100   57  131  977    0    0    0    0    0    0    0
    0    0]"
even good camp value,0,4,20,"[19, 1, 2373, 339]","[  19    1 2373  339    0    0    0    0    0    0    0    0    0    0
    0    0]"
expecting oscar material this,0,4,29,"[2374, 1409, 988, 111]","[2374 1409  988  111    0    0    0    0    0    0    0    0    0    0
    0    0]"
iq particularly stupid mollusk see one coming,0,7,45,"[2375, 1040, 206, 2376, 50, 6, 249]","[2375 1040  206 2376   50    6  249    0    0    0    0    0    0    0
    0    0]"
film and use word loosely insult movie going public,0,9,51,"[5, 298, 44, 322, 2377, 815, 2, 67, 1410]","[   5  298   44  322 2377  815    2   67 1410    0    0    0    0    0
    0    0]"
someone involved knew string together narrative,0,6,47,"[581, 1033, 1041, 1411, 411, 995]","[ 581 1033 1041 1411  411  995    0    0    0    0    0    0    0    0
    0    0]"
get simply there nothing lower,0,5,30,"[25, 203, 115, 95, 2378]","[  25  203  115   95 2378    0    0    0    0    0    0    0    0    0
    0    0]"
one have watched recently fox movie channel disappointed,0,8,56,"[6, 625, 331, 816, 1412, 2, 1413, 71]","[   6  625  331  816 1412    2 1413   71    0    0    0    0    0    0
    0    0]"
know contract player little control script acting bad script,0,9,60,"[76, 1414, 430, 63, 788, 114, 57, 15, 114]","[  76 1414  430   63  788  114   57   15  114    0    0    0    0    0
    0    0]"
victor mclaglen even bad brian donlevy almost unrecognizable,0,8,60,"[2379, 2380, 19, 15, 2381, 2382, 293, 2383]","[2379 2380   19   15 2381 2382  293 2383    0    0    0    0    0    0
    0    0]"
considering relation screen taylor stanwyck surprising little chemistry screen two them,0,11,87,"[564, 1042, 112, 1415, 1043, 1416, 63, 1044, 112, 59, 332]","[ 564 1042  112 1415 1043 1416   63 1044  112   59  332    0    0    0
    0    0]"
premise film ridiculous president u,0,5,35,"[979, 5, 799, 2384, 102]","[ 979    5  799 2384  102    0    0    0    0    0    0    0    0    0
    0    0]"
death row scene entirely unmoving,0,5,33,"[817, 1417, 78, 1418, 2385]","[ 817 1417   78 1418 2385    0    0    0    0    0    0    0    0    0
    0    0]"
thing worse taylor acting stanwyck singing,0,6,42,"[31, 305, 1415, 57, 1043, 1334]","[  31  305 1415   57 1043 1334    0    0    0    0    0    0    0    0
    0    0]"
whatever producer going for missed entirely,0,6,43,"[459, 1419, 67, 495, 774, 1418]","[ 459 1419   67  495  774 1418    0    0    0    0    0    0    0    0
    0    0]"
deeply impressed character played,1,4,33,"[1420, 156, 39, 420]","[1420  156   39  420    0    0    0    0    0    0    0    0    0    0
    0    0]"
knew saw film great thing come gifted actor,1,8,43,"[1041, 257, 5, 3, 31, 119, 2386, 121]","[1041  257    5    3   31  119 2386  121    0    0    0    0    0    0
    0    0]"
even squib look awful,0,4,21,"[19, 2387, 48, 137]","[  19 2387   48  137    0    0    0    0    0    0    0    0    0    0
    0    0]"
point proceeding look remotely like america,0,6,43,"[496, 1421, 48, 1422, 11, 1387]","[ 496 1421   48 1422   11 1387    0    0    0    0    0    0    0    0
    0    0]"
plot is derivative predictable ending like mercy killing,0,8,56,"[108, 165, 2388, 320, 379, 11, 1423, 1424]","[ 108  165 2388  320  379   11 1423 1424    0    0    0    0    0    0
    0    0]"
awful dialogue hopeless overacting everyone get shot top real waste space time,0,12,78,"[137, 299, 2389, 1425, 275, 25, 327, 316, 91, 84, 818, 8]","[ 137  299 2389 1425  275   25  327  316   91   84  818    8    0    0
    0    0]"
uneasy bad movie wa scared all,0,6,30,"[2390, 15, 2, 497, 1377, 100]","[2390   15    2  497 1377  100    0    0    0    0    0    0    0    0
    0    0]"
dialogue composed thing make little sense,0,6,41,"[299, 2391, 31, 29, 63, 1426]","[ 299 2391   31   29   63 1426    0    0    0    0    0    0    0    0
    0    0]"
directing sloppy best,0,3,21,"[406, 2392, 18]","[ 406 2392   18    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
hackneyed writing certainly made even worse bad directing,0,8,57,"[1427, 264, 294, 28, 19, 305, 15, 406]","[1427  264  294   28   19  305   15  406    0    0    0    0    0    0
    0    0]"
course acting blah,0,3,18,"[498, 57, 1428]","[ 498   57 1428    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
acting whole cast could put scale balanced perfectly overacting underacting,0,10,75,"[57, 308, 190, 37, 259, 1034, 1429, 279, 1425, 2393]","[  57  308  190   37  259 1034 1429  279 1425 2393    0    0    0    0
    0    0]"
and finally that get ending would ve great handled competent people jerry falwell,0,13,81,"[298, 432, 82, 25, 379, 17, 1430, 3, 963, 2394, 68, 2395, 2396]","[ 298  432   82   25  379   17 1430    3  963 2394   68 2395 2396    0
    0    0]"
loved movie great portrayal family share ups down end knew special love other,1,13,77,"[134, 2, 3, 464, 193, 1431, 775, 478, 154, 1041, 223, 26, 803]","[ 134    2    3  464  193 1431  775  478  154 1041  223   26  803    0
    0    0]"
seen many movie starring jaclyn smith god one best though came year ago,1,13,71,"[99, 117, 2, 2397, 2398, 2399, 1024, 6, 18, 215, 73, 58, 381]","[  99  117    2 2397 2398 2399 1024    6   18  215   73   58  381    0
    0    0]"
movie contained all star cast loved opened eye see actor seen before,1,12,68,"[2, 1432, 100, 81, 190, 134, 1045, 567, 50, 121, 99, 555]","[   2 1432  100   81  190  134 1045  567   50  121   99  555    0    0
    0    0]"
movie kind long length enjoyed every minute it,1,8,46,"[2, 204, 89, 1433, 214, 70, 54, 7]","[   2  204   89 1433  214   70   54    7    0    0    0    0    0    0
    0    0]"
overall rate movie scale,1,4,24,"[159, 662, 2, 1034]","[ 159  662    2 1034    0    0    0    0    0    0    0    0    0    0
    0    0]"
lifetime air enough anyone know store sell let know must have,1,11,61,"[2400, 1434, 61, 129, 76, 499, 2401, 296, 76, 155, 625]","[2400 1434   61  129   76  499 2401  296   76  155  625    0    0    0
    0    0]"
particularly remember sens assaulted strident cord music would blare little warning even le meaning,0,14,99,"[1040, 779, 2402, 2403, 2404, 2405, 175, 17, 2406, 63, 819, 19, 311, 730]","[1040  779 2402 2403 2404 2405  175   17 2406   63  819   19  311  730
    0    0]"
sort pap screened afternoon punish unemployed job,0,7,49,"[1046, 2407, 2408, 1435, 2409, 2410, 138]","[1046 2407 2408 1435 2409 2410  138    0    0    0    0    0    0    0
    0    0]"
totally different load understatement black comedy film get see remember it,1,11,75,"[158, 315, 1047, 2411, 222, 663, 5, 25, 50, 779, 7]","[ 158  315 1047 2411  222  663    5   25   50  779    7    0    0    0
    0    0]"
movie creates universe fascinating every way,1,6,44,"[2, 1436, 2412, 1437, 70, 43]","[   2 1436 2412 1437   70   43    0    0    0    0    0    0    0    0
    0    0]"
movie really got me,1,4,19,"[2, 13, 53, 103]",[  2  13  53 103   0   0   0   0   0   0   0   0   0   0   0   0]
see it,1,2,6,"[50, 7]",[50  7  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
really hope team behind movie make movie continue own kinda weird style,1,12,71,"[13, 427, 2413, 1048, 2, 29, 2, 1049, 2414, 1379, 813, 433]","[  13  427 2413 1048    2   29    2 1049 2414 1379  813  433    0    0
    0    0]"
forgot casting superb trond fausa aurvag perfect role bothersome man understand is why,1,13,86,"[1438, 614, 500, 2415, 2416, 2417, 202, 577, 2418, 356, 303, 165, 1439]","[1438  614  500 2415 2416 2417  202  577 2418  356  303  165 1439    0
    0    0]"
movie good humorous comment life,1,5,32,"[2, 1, 1440, 1050, 92]","[   2    1 1440 1050   92    0    0    0    0    0    0    0    0    0
    0    0]"
found move beautiful enjoyable uplifting,1,5,40,"[113, 1441, 189, 1051, 2419]","[ 113 1441  189 1051 2419    0    0    0    0    0    0    0    0    0
    0    0]"
initially local site film filmed buffalo intrigued me,1,8,53,"[2420, 2421, 1339, 5, 2422, 2423, 2424, 103]","[2420 2421 1339    5 2422 2423 2424  103    0    0    0    0    0    0
    0    0]"
later found lost power film,1,5,27,"[501, 113, 402, 820, 5]",[501 113 402 820   5   0   0   0   0   0   0   0   0   0   0   0]
entire audience applauded conclusion film,1,5,41,"[502, 728, 2425, 821, 5]","[ 502  728 2425  821    5    0    0    0    0    0    0    0    0    0
    0    0]"
left theater lilt step joy heart hope human race,1,9,48,"[271, 790, 2426, 982, 635, 434, 427, 503, 1052]","[ 271  790 2426  982  635  434  427  503 1052    0    0    0    0    0
    0    0]"
duris wholesome appearance give fine performance,1,6,48,"[2427, 1374, 822, 107, 141, 178]","[2427 1374  822  107  141  178    0    0    0    0    0    0    0    0
    0    0]"
rest cast also play well,1,5,24,"[455, 190, 23, 295, 16]",[455 190  23 295  16   0   0   0   0   0   0   0   0   0   0   0]
cinematography noteworthy including fine view barcelona famed gaudi tower,1,9,73,"[361, 1324, 1442, 141, 1443, 2428, 2429, 2430, 2431]","[ 361 1324 1442  141 1443 2428 2429 2430 2431    0    0    0    0    0
    0    0]"
ten minute film started second thought,0,6,38,"[823, 54, 5, 313, 341, 128]",[823  54   5 313 341 128   0   0   0   0   0   0   0   0   0   0]
half way film started dislike it,0,6,32,"[357, 43, 5, 313, 1444, 7]","[ 357   43    5  313 1444    7    0    0    0    0    0    0    0    0
    0    0]"
time film ended disliked it despised it,0,7,39,"[8, 5, 664, 1307, 7, 2432, 7]","[   8    5  664 1307    7 2432    7    0    0    0    0    0    0    0
    0    0]"
film lack convincing script,0,4,27,"[5, 540, 746, 114]",[  5 540 746 114   0   0   0   0   0   0   0   0   0   0   0   0]
script look rough draft written shooting began finished script completed,0,10,72,"[114, 48, 2433, 2434, 752, 2435, 1445, 1446, 114, 2436]","[ 114   48 2433 2434  752 2435 1445 1446  114 2436    0    0    0    0
    0    0]"
thing happen character personality change plot twist occur real reason script call it,0,13,85,"[31, 1447, 39, 2437, 2438, 108, 1015, 2439, 91, 504, 114, 88, 7]","[  31 1447   39 2437 2438  108 1015 2439   91  504  114   88    7    0
    0    0]"
cast good,1,2,9,"[190, 1]",[190   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
that worth checking out,1,4,23,"[82, 93, 1282, 290]","[  82   93 1282  290    0    0    0    0    0    0    0    0    0    0
    0    0]"
probably irritating show ever seen entire life,0,7,46,"[132, 2440, 123, 20, 99, 502, 92]","[ 132 2440  123   20   99  502   92    0    0    0    0    0    0    0
    0    0]"
indescribably annoying idiotic show ever seen,0,6,45,"[2441, 466, 2442, 123, 20, 99]","[2441  466 2442  123   20   99    0    0    0    0    0    0    0    0
    0    0]"
everything bad,0,2,14,"[60, 15]",[60 15  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
could understand kind idiot would produce mess first place mention several season,0,12,81,"[37, 303, 204, 1291, 17, 1448, 342, 42, 10, 824, 267, 1449]","[  37  303  204 1291   17 1448  342   42   10  824  267 1449    0    0
    0    0]"
script bad bad contains cheesiness unethical joke normally see rated r nc movie,0,13,79,"[114, 15, 15, 1450, 2443, 2444, 582, 1451, 50, 825, 1452, 2445, 2]","[ 114   15   15 1450 2443 2444  582 1451   50  825 1452 2445    2    0
    0    0]"
casting also horrible cause see really really bad actor period,0,10,62,"[614, 23, 163, 935, 50, 13, 13, 15, 121, 579]",[614  23 163 935  50  13  13  15 121 579   0   0   0   0   0   0]
final word show real torture,0,5,28,"[1053, 322, 123, 91, 772]","[1053  322  123   91  772    0    0    0    0    0    0    0    0    0
    0    0]"
zillion time away reality,0,4,25,"[2446, 8, 242, 2447]","[2446    8  242 2447    0    0    0    0    0    0    0    0    0    0
    0    0]"
watching washing machine twirling around hurt eye much show,0,9,59,"[152, 2448, 990, 2449, 166, 1453, 567, 33, 123]","[ 152 2448  990 2449  166 1453  567   33  123    0    0    0    0    0
    0    0]"
rating grade z note show bad even mother cast pull daughter show,0,12,64,"[474, 2450, 2451, 655, 123, 15, 19, 1027, 190, 620, 778, 123]","[ 474 2450 2451  655  123   15   19 1027  190  620  778  123    0    0
    0    0]"
th century fox road house quite silly noir implausible unmitigated bore movie,0,12,77,"[622, 1454, 1412, 2452, 370, 97, 2453, 1346, 1455, 2454, 992, 2]","[ 622 1454 1412 2452  370   97 2453 1346 1455 2454  992    2    0    0
    0    0]"
widmark character turn unintentionally comical,0,5,46,"[2455, 39, 274, 2456, 2457]","[2455   39  274 2456 2457    0    0    0    0    0    0    0    0    0
    0    0]"
losing marble early proceeding totally implausible unconvincing,0,7,63,"[1296, 2458, 1054, 1421, 158, 1455, 1456]","[1296 2458 1054 1421  158 1455 1456    0    0    0    0    0    0    0
    0    0]"
enough mess movie picture also marred constant use studio set indoor exterior,0,12,77,"[61, 342, 2, 176, 23, 2459, 2460, 44, 2461, 248, 1457, 1458]","[  61  342    2  176   23 2459 2460   44 2461  248 1457 1458    0    0
    0    0]"
whatever prompted documentary beyond me,0,5,39,"[459, 2462, 665, 481, 103]","[ 459 2462  665  481  103    0    0    0    0    0    0    0    0    0
    0    0]"
very serious spoiler movie huge disappointment,0,6,46,"[355, 826, 784, 2, 343, 330]",[355 826 784   2 343 330   0   0   0   0   0   0   0   0   0   0]
many problem dont know start,0,5,28,"[117, 66, 583, 76, 584]",[117  66 583  76 584   0   0   0   0   0   0   0   0   0   0   0]
cast great,1,2,10,"[190, 3]",[190   3   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
steve martin delivers really funny performance middle aged upper class uptight white guy,1,13,88,"[1459, 1055, 1248, 13, 177, 178, 1460, 2463, 2464, 1461, 2465, 382, 490]","[1459 1055 1248   13  177  178 1460 2463 2464 1461 2465  382  490    0
    0    0]"
add betty white jean smart great cast everyone played part really well,1,12,70,"[1462, 1463, 382, 2466, 1014, 3, 190, 275, 420, 135, 13, 16]","[1462 1463  382 2466 1014    3  190  275  420  135   13   16    0    0
    0    0]"
movie make lot serious mistake,0,5,30,"[2, 29, 79, 826, 505]",[  2  29  79 826 505   0   0   0   0   0   0   0   0   0   0   0]
first all enough racial stereotype racial joke offend everyone,0,9,62,"[42, 100, 61, 1056, 973, 1056, 582, 2467, 275]","[  42  100   61 1056  973 1056  582 2467  275    0    0    0    0    0
    0    0]"
movie littered overt racial slur towards black cast member return white depicted moron boob,0,14,91,"[2, 2468, 2469, 1056, 2470, 804, 222, 190, 1464, 317, 382, 2471, 2472, 2473]","[   2 2468 2469 1056 2470  804  222  190 1464  317  382 2471 2472 2473
    0    0]"
putting race card aside let look major flaw film destroy latifa character,0,12,73,"[961, 1052, 1465, 1466, 296, 48, 1467, 559, 5, 2474, 2475, 39]","[ 961 1052 1465 1466  296   48 1467  559    5 2474 2475   39    0    0
    0    0]"
real plot,0,2,9,"[91, 108]",[ 91 108   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
wouldnt see movie free,0,4,22,"[2476, 50, 2, 373]","[2476   50    2  373    0    0    0    0    0    0    0    0    0    0
    0    0]"
steamboat willie amazingly important film cinema history,1,7,56,"[2477, 2478, 2479, 408, 5, 407, 617]","[2477 2478 2479  408    5  407  617    0    0    0    0    0    0    0
    0    0]"
second appearance mickey mouse following silent plane crazy earlier year probably famous film mostly ground breaking,1,16,116,"[341, 822, 827, 1468, 1301, 980, 2480, 765, 791, 58, 132, 1469, 5, 483, 1470, 1057]","[ 341  822  827 1468 1301  980 2480  765  791   58  132 1469    5  483
 1470 1057]"
yet hear mickey speak ton sound effect music throughout film something take granted huge crowd pleaser,1,16,102,"[377, 224, 827, 917, 2481, 35, 263, 175, 808, 5, 362, 124, 2482, 343, 666, 1471]","[ 377  224  827  917 2481   35  263  175  808    5  362  124 2482  343
  666 1471]"
however seeing short year amazed timeless film actually is,1,9,58,"[161, 488, 238, 58, 1058, 2483, 5, 205, 165]","[ 161  488  238   58 1058 2483    5  205  165    0    0    0    0    0
    0    0]"
adorable seeing mickey playing turkey straw highly imaginative if occasionally cruel way,1,12,88,"[732, 488, 827, 473, 1472, 2484, 116, 1473, 1341, 1285, 2485, 43]","[ 732  488  827  473 1472 2484  116 1473 1341 1285 2485   43    0    0
    0    0]"
clever real crowd pleaser this film still rank among mickey best film even wonderful year,1,15,89,"[805, 91, 666, 1471, 111, 5, 56, 1002, 2486, 827, 18, 5, 19, 110, 58]","[ 805   91  666 1471  111    5   56 1002 2486  827   18    5   19  110
   58    0]"
bipolarity ruthless thug one minute ruthless killer next minute luv diaper commercial completely unconvincing,0,14,109,"[2487, 1474, 2488, 6, 54, 1474, 828, 209, 54, 2489, 2490, 1475, 246, 1456]","[2487 1474 2488    6   54 1474  828  209   54 2489 2490 1475  246 1456
    0    0]"
terribly disappointed film would receive many award accolade especially far deserving work film there,0,14,101,"[1476, 71, 5, 17, 1477, 117, 1478, 2491, 216, 90, 1479, 14, 5, 115]","[1476   71    5   17 1477  117 1478 2491  216   90 1479   14    5  115
    0    0]"
original body soul masterpiece,1,4,30,"[383, 2492, 1349, 923]","[ 383 2492 1349  923    0    0    0    0    0    0    0    0    0    0
    0    0]"
think redeeming quality remake,0,4,30,"[45, 976, 24, 958]",[ 45 976  24 958   0   0   0   0   0   0   0   0   0   0   0   0]
may bad film ever made,0,5,22,"[344, 15, 5, 20, 28]",[344  15   5  20  28   0   0   0   0   0   0   0   0   0   0   0]
bad well it bad,0,4,15,"[15, 16, 7, 15]",[15 16  7 15  0  0  0  0  0  0  0  0  0  0  0  0]
movie solid example bad plot very bad idea way,0,9,46,"[2, 566, 1028, 15, 108, 355, 15, 661, 43]","[   2  566 1028   15  108  355   15  661   43    0    0    0    0    0
    0    0]"
shame see good actor like thomerson james make living mess like this,0,12,68,"[1480, 50, 1, 121, 11, 2493, 1481, 29, 560, 342, 11, 111]","[1480   50    1  121   11 2493 1481   29  560  342   11  111    0    0
    0    0]"
thought bad,0,2,11,"[128, 15]",[128  15   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
film terrible credit version watchable,0,5,38,"[5, 72, 829, 1482, 1483]","[   5   72  829 1482 1483    0    0    0    0    0    0    0    0    0
    0    0]"
let start problem the acting especially lead professor very bad,0,10,63,"[296, 584, 66, 245, 57, 216, 641, 2494, 355, 15]","[ 296  584   66  245   57  216  641 2494  355   15    0    0    0    0
    0    0]"
script big flawed mess,0,4,22,"[114, 151, 965, 342]",[114 151 965 342   0   0   0   0   0   0   0   0   0   0   0   0]
best example dumb writing established turn zombie student back human removing necklace containing piece meteorite,0,15,113,"[18, 1028, 1484, 264, 2495, 274, 1485, 1398, 22, 503, 1486, 2496, 2497, 80, 2498]","[  18 1028 1484  264 2495  274 1485 1398   22  503 1486 2496 2497   80
 2498    0]"
director paul matthew also wrote directed weak monster movie grim clearly know pace film,0,14,88,"[265, 1487, 2499, 23, 2500, 1012, 506, 1488, 2, 2501, 736, 76, 1059, 5]","[ 265 1487 2499   23 2500 1012  506 1488    2 2501  736   76 1059    5
    0    0]"
movie terribly boring place,0,4,27,"[2, 1476, 329, 10]","[   2 1476  329   10    0    0    0    0    0    0    0    0    0    0
    0    0]"
lighting awful,0,2,14,"[1489, 137]","[1489  137    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
film look cheap bland,0,4,21,"[5, 48, 180, 250]",[  5  48 180 250   0   0   0   0   0   0   0   0   0   0   0   0]
one disappointing aspect lack notable gore,0,6,42,"[6, 369, 741, 540, 2502, 2503]","[   6  369  741  540 2502 2503    0    0    0    0    0    0    0    0
    0    0]"
convention never worked well past certainly work here,0,8,53,"[2504, 38, 133, 16, 1060, 294, 14, 96]","[2504   38  133   16 1060  294   14   96    0    0    0    0    0    0
    0    0]"
visual effect awful,0,3,19,"[993, 263, 137]",[993 263 137   0   0   0   0   0   0   0   0   0   0   0   0   0]
cg opening sequence space looked like could created microsoft slideshow god sake,0,12,80,"[2505, 1490, 996, 818, 660, 11, 37, 811, 1491, 2506, 1024, 1406]","[2505 1490  996  818  660   11   37  811 1491 2506 1024 1406    0    0
    0    0]"
explosion gas tank end awful,0,5,28,"[2507, 1492, 2508, 154, 137]","[2507 1492 2508  154  137    0    0    0    0    0    0    0    0    0
    0    0]"
okay like consider fair critic give credit credit due the creature effect actually pretty cool,1,15,94,"[2509, 11, 737, 1493, 2510, 107, 829, 829, 830, 245, 2511, 263, 205, 46, 200]","[2509   11  737 1493 2510  107  829  829  830  245 2511  263  205   46
  200    0]"
gotta love close ups slimy drooling teeth,1,7,41,"[2512, 26, 642, 775, 2513, 2514, 1494]","[2512   26  642  775 2513 2514 1494    0    0    0    0    0    0    0
    0    0]"
sum film up breeder terrible cheaply made horror movie avoided like ebola virus,0,13,79,"[1495, 5, 181, 2515, 72, 1496, 28, 368, 2, 1497, 11, 2516, 2517]","[1495    5  181 2515   72 1496   28  368    2 1497   11 2516 2517    0
    0    0]"
recommended,0,1,11,[384],[384   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
almost unbearable watch screen little charisma terrible comedic timing,0,9,70,"[293, 1498, 160, 112, 63, 1316, 72, 2518, 2519]","[ 293 1498  160  112   63 1316   72 2518 2519    0    0    0    0    0
    0    0]"
aside terrible lead film load debit,0,6,35,"[1466, 72, 641, 5, 1047, 2520]","[1466   72  641    5 1047 2520    0    0    0    0    0    0    0    0
    0    0]"
understand supposed cheap popcorn comedy mean completely insult intelligence writing incredibly hackneyed border offensive,0,14,122,"[303, 1023, 180, 2521, 663, 423, 246, 815, 1013, 264, 763, 1427, 2522, 1361]","[ 303 1023  180 2521  663  423  246  815 1013  264  763 1427 2522 1361
    0    0]"
lewis black considerable talent wasted too incendiary unrestrained pg rating certainly allow,0,12,92,"[2523, 222, 2524, 1338, 359, 179, 2525, 2526, 1271, 474, 294, 1499]","[2523  222 2524 1338  359  179 2525 2526 1271  474  294 1499    0    0
    0    0]"
originality freshness first movie spent remake little else offer,0,9,64,"[2527, 2528, 42, 2, 985, 958, 63, 484, 565]","[2527 2528   42    2  985  958   63  484  565    0    0    0    0    0
    0    0]"
budget evidently limited,0,3,24,"[616, 2529, 1500]","[ 616 2529 1500    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
reflected cast also below par script borrowed much earlier classic,0,10,66,"[2530, 190, 23, 2531, 831, 114, 2532, 33, 791, 418]","[2530  190   23 2531  831  114 2532   33  791  418    0    0    0    0
    0    0]"
however decent acting action location work balance thing up,0,9,59,"[161, 419, 57, 424, 487, 14, 1061, 31, 181]","[ 161  419   57  424  487   14 1061   31  181    0    0    0    0    0
    0    0]"
filmiing le expansive,0,3,21,"[2533, 311, 2534]","[2533  311 2534    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
failed convey broad sweep landscape great part original,0,8,55,"[832, 2535, 2536, 2537, 2538, 3, 135, 383]","[ 832 2535 2536 2537 2538    3  135  383    0    0    0    0    0    0
    0    0]"
generally lacked imagination,0,3,28,"[629, 651, 964]",[629 651 964   0   0   0   0   0   0   0   0   0   0   0   0   0]
possible movie get worse this,0,5,29,"[476, 2, 25, 305, 111]",[476   2  25 305 111   0   0   0   0   0   0   0   0   0   0   0]
plot keep going first place,0,5,27,"[108, 291, 67, 42, 10]",[108 291  67  42  10   0   0   0   0   0   0   0   0   0   0   0]
